,16242ba1-42fd-4fae-bd2e-433b97fc95c6_11,1d26c6ae-f2fc-49e4-83a4-b79398c3d8f8_11,25fb2523-3f46-45c4-b54d-16aafdeb4904_11,680b2e96-f00b-4012-8728-b0ec20c50ce0_11,a2b0094b-8a0c-4505-a1fa-7e1e47d0374d_11
MIMAT0001625,2.0,5.0,15.0,11.0,15.0
MIMAT0001627,932.0,761.0,1257.0,405.0,1131.0
MIMAT0001629,330.0,152.0,489.0,306.0,595.0
MIMAT0001630,0.0,2.0,1.0,3.0,1.0
MIMAT0001631,2296.0,996.0,9091.0,26787.0,20106.0
MIMAT0001635,38.0,12.0,35.0,32.0,39.0
MIMAT0001636,3.0,0.0,0.0,1.0,0.0
MIMAT0001638,655.0,263.0,694.0,506.0,554.0
MIMAT0001639,425.0,217.0,701.0,292.0,665.0
MIMAT0002170,1.0,0.0,2.0,1.0,0.0
MIMAT0002171,2343.0,818.0,4306.0,1858.0,3942.0
MIMAT0002172,13.0,8.0,18.0,21.0,24.0
MIMAT0002173,2.0,1.0,2.0,4.0,4.0
MIMAT0002174,364.0,612.0,409.0,386.0,445.0
MIMAT0002175,52.0,13.0,132.0,61.0,126.0
MIMAT0002176,1408.0,578.0,2066.0,1077.0,2471.0
MIMAT0002177,885.0,487.0,3656.0,7184.0,5142.0
MIMAT0002178,47.0,30.0,81.0,33.0,100.0
MIMAT0002804,123.0,51.0,223.0,76.0,199.0
MIMAT0002805,0.0,2.0,0.0,0.0,2.0
MIMAT0002806,357.0,118.0,656.0,257.0,442.0
MIMAT0002807,202.0,54.0,201.0,194.0,297.0
MIMAT0002808,8.0,5.0,5.0,5.0,5.0
MIMAT0002809,2864.0,1170.0,4056.0,2171.0,3416.0
MIMAT0002810,1.0,0.0,0.0,0.0,2.0
MIMAT0002813,13.0,1.0,18.0,9.0,19.0
MIMAT0002814,841.0,485.0,1209.0,682.0,1219.0
MIMAT0002815,8.0,2.0,13.0,4.0,11.0
MIMAT0002816,43.0,9.0,44.0,29.0,41.0
MIMAT0002817,1409.0,309.0,1504.0,1182.0,1917.0
MIMAT0002818,166.0,66.0,321.0,127.0,265.0
MIMAT0002819,143.0,533.0,217.0,153.0,322.0
MIMAT0002820,61.0,39.0,103.0,46.0,95.0
MIMAT0002821,377.0,203.0,773.0,244.0,592.0
MIMAT0002822,0.0,1.0,0.0,0.0,1.0
MIMAT0002823,1.0,0.0,0.0,1.0,0.0
MIMAT0002824,0.0,0.0,0.0,0.0,1.0
MIMAT0002826,0.0,0.0,1.0,1.0,0.0
MIMAT0002828,0.0,0.0,0.0,0.0,1.0
MIMAT0002830,0.0,0.0,0.0,1.0,1.0
MIMAT0002832,0.0,2.0,0.0,0.0,0.0
MIMAT0002834,0.0,0.0,1.0,2.0,3.0
MIMAT0002835,1.0,2.0,3.0,4.0,3.0
MIMAT0002838,2.0,0.0,1.0,0.0,1.0
MIMAT0002841,0.0,0.0,0.0,0.0,1.0
MIMAT0002844,0.0,0.0,3.0,2.0,2.0
MIMAT0002847,0.0,0.0,0.0,1.0,3.0
MIMAT0002848,0.0,2.0,1.0,1.0,0.0
MIMAT0002851,3.0,0.0,0.0,0.0,0.0
MIMAT0002852,2.0,1.0,2.0,1.0,3.0
MIMAT0002853,1.0,1.0,1.0,0.0,1.0
MIMAT0002854,0.0,1.0,0.0,0.0,1.0
MIMAT0002856,0.0,0.0,0.0,2.0,1.0
MIMAT0002857,2.0,1.0,2.0,1.0,3.0
MIMAT0002858,1.0,1.0,0.0,0.0,0.0
MIMAT0002859,1.0,2.0,0.0,0.0,0.0
MIMAT0002861,0.0,0.0,1.0,0.0,2.0
MIMAT0002862,0.0,0.0,0.0,0.0,1.0
MIMAT0002863,2.0,0.0,0.0,0.0,1.0
MIMAT0002866,1.0,0.0,1.0,0.0,0.0
MIMAT0002867,1.0,0.0,0.0,1.0,0.0
MIMAT0002868,1.0,2.0,3.0,0.0,2.0
MIMAT0002869,3.0,0.0,2.0,0.0,4.0
MIMAT0002870,7.0,16.0,6.0,9.0,8.0
MIMAT0002871,615.0,726.0,687.0,490.0,639.0
MIMAT0002872,4.0,13.0,14.0,9.0,7.0
MIMAT0002873,2.0,1.0,0.0,1.0,0.0
MIMAT0002874,45.0,14.0,53.0,22.0,14.0
MIMAT0002875,44.0,25.0,103.0,52.0,87.0
MIMAT0002876,55.0,158.0,82.0,62.0,61.0
MIMAT0002877,0.0,0.0,1.0,0.0,0.0
MIMAT0002878,0.0,0.0,1.0,0.0,0.0
MIMAT0002880,130.0,18.0,109.0,79.0,78.0
MIMAT0002881,21.0,2.0,21.0,19.0,14.0
MIMAT0002883,16.0,1.0,16.0,11.0,15.0
MIMAT0002888,1340.0,1131.0,2324.0,1250.0,1777.0
MIMAT0002890,112.0,47.0,178.0,73.0,146.0
MIMAT0002891,1.0,5.0,4.0,6.0,4.0
MIMAT0003150,45.0,26.0,77.0,55.0,91.0
MIMAT0003161,12.0,7.0,22.0,4.0,12.0
MIMAT0003163,593.0,362.0,663.0,270.0,539.0
MIMAT0003164,4.0,2.0,9.0,1.0,8.0
MIMAT0003165,1.0,0.0,0.0,0.0,1.0
MIMAT0003180,889.0,335.0,1272.0,676.0,1285.0
MIMAT0003214,0.0,1.0,2.0,0.0,1.0
MIMAT0003215,5.0,2.0,11.0,4.0,5.0
MIMAT0003218,3946.0,2462.0,4959.0,2370.0,4016.0
MIMAT0003220,0.0,2.0,2.0,1.0,0.0
MIMAT0003228,0.0,0.0,0.0,0.0,1.0
MIMAT0003233,29.0,8.0,41.0,18.0,43.0
MIMAT0003235,0.0,1.0,1.0,0.0,1.0
MIMAT0003238,0.0,0.0,1.0,0.0,0.0
MIMAT0003239,100.0,994.0,145.0,168.0,274.0
MIMAT0003241,29.0,71.0,40.0,66.0,57.0
MIMAT0003242,286.0,940.0,155.0,551.0,845.0
MIMAT0003243,0.0,1.0,0.0,0.0,1.0
MIMAT0003245,1.0,1.0,5.0,3.0,3.0
MIMAT0003246,2.0,1.0,0.0,0.0,1.0
MIMAT0003247,315.0,131.0,444.0,235.0,514.0
MIMAT0003249,1637.0,30920.0,2561.0,3770.0,5180.0
MIMAT0003250,5.0,0.0,3.0,2.0,3.0
MIMAT0003254,9.0,4.0,7.0,13.0,8.0
MIMAT0003256,6.0,24.0,10.0,1.0,9.0
MIMAT0003257,7.0,7.0,13.0,16.0,6.0
MIMAT0003258,43.0,73.0,54.0,47.0,56.0
