,0775583e-c0a0-4f18-9ca2-8f89cedce3d6_01,180a2b9c-9cac-4d96-86e8-cd6b3b9386b5_01,1d136284-bdf5-498e-9506-4893801a337c_01,20bf79af-3b0f-477d-b619-5597d42f5d5e_01,20bf79af-3b0f-477d-b619-5597d42f5d5e_11,20ec1cd9-7bdb-4eb9-9d20-65795580f1f5_01,22bf93b3-c8dc-4669-862f-3e4ae478849b_01,2d6e20b2-82c7-4c12-92d0-93282b0a9031_01,2d6e20b2-82c7-4c12-92d0-93282b0a9031_11,32e9558c-946b-4288-91e1-504e47c308ac_01,3824cd6d-c85c-4b21-819a-932d1afef976_01,3c8ca064-a4a7-416f-a069-4324d4a72038_01,3c8ca064-a4a7-416f-a069-4324d4a72038_11,41b97b11-acaa-4fbc-b3b0-0abc1bcac13b_01,4290b3b3-94f6-43e4-8309-430dd973ae2d_01,47a9ef9b-04f0-4e8d-bfdb-0846ba30d08b_01,48d17b17-348c-405a-ae92-f190372a3aac_01,5166d82f-7b22-4101-bea9-6056e5a74c48_01,5cf3911a-f3ea-4c0e-851d-5bb57ca7190f_01,5fb3affa-3661-48e8-a1cc-b533c862e8c5_01,6e534dd3-81ac-4575-ab1e-02c21e10916d_01,6e534dd3-81ac-4575-ab1e-02c21e10916d_11,7047dc12-e2ed-40b7-86fd-c5c53a2766fd_01,779ce92d-1abd-44fc-9021-eda4d7f08fff_01,8944fe2a-e32f-4898-a2c5-fb6751f602a4_01,95b69517-4971-450e-9ed0-43bc8b2c0534_01,9d9109f5-5917-4126-8e34-8a7e4632e913_01,aaacf22c-2362-4613-b024-88fb7dd1cca1_01,aaacf22c-2362-4613-b024-88fb7dd1cca1_11,adc9a685-5b4a-4c29-881a-da1895c47520_01,adc9a685-5b4a-4c29-881a-da1895c47520_11,b10c64c2-7fd2-4210-b975-034affb14b57_01,b16e9c3f-c7df-46c2-bee3-ecaebbab025f_01,b4f7f9e4-5fc5-4461-8e0b-0b6c384863c6_01,b4f7f9e4-5fc5-4461-8e0b-0b6c384863c6_11,bc15cec4-1f82-47fe-ae69-3853194fab7e_01,ccb028ae-777c-4af6-b92e-40848f1cf774_01,dcc87c59-fd8c-4511-9983-96d5b9784cb0_01,e76cf9a0-061e-4a7d-ba28-5a40b8da54b8_01,e76cf9a0-061e-4a7d-ba28-5a40b8da54b8_11,f2d42e03-ca8d-4b57-ae39-0cc8f37b1b67_01,f47dbd99-920b-4b39-a1b0-6c152ad24884_01,f47dbd99-920b-4b39-a1b0-6c152ad24884_11,fe57b639-db7a-460f-adfe-552f1e034e46_01,ff4131c9-537c-46cc-b495-9af60d431f5e_01
MIMAT0017991,0.757072,0.645204,0.0,0.766108,1.702012,0.435311,0.317059,0.35617,0.823144,2.567907,0.960862,0.571544,0.504591,0.590131,0.391772,0.747909,0.413056,0.835234,0.139093,0.61937,0.986654,1.622506,0.235983,0.332735,1.244417,0.878399,0.774135,0.494774,2.01437,1.413433,0.584173,0.84594,1.01798,0.0,1.53252,3.367712,1.149716,0.433036,0.47276,1.314977,0.29792,0.253677,1.00151,0.184379,1.646034
MIMAT0017992,0.0,0.0,0.677756,1.787586,2.836685,0.580414,0.951177,1.246595,3.566957,0.0,0.0,0.0,2.522955,0.826184,0.97943,0.0,2.478339,0.0,1.043199,1.23874,2.959962,2.78144,0.235983,0.665471,0.382897,1.756795,0.154827,1.484322,2.302138,0.471144,2.336694,0.56396,0.872555,0.742886,1.91565,1.870952,2.68267,2.381699,0.47276,2.04552,0.29792,0.507353,1.168428,0.368758,2.821772
MIMAT0017993,0.504715,0.0,0.271102,0.255369,1.5129,1.305933,0.317059,1.06851,3.292576,0.733688,0.549064,1.619374,3.027546,0.590131,1.371202,0.448746,1.032641,0.626426,1.112745,0.309685,0.657769,1.854292,0.943932,0.166368,0.191449,0.292799,0.0,0.989548,2.302137,0.706716,2.920867,0.70495,0.581704,1.981031,1.53252,1.870952,0.958097,0.649554,1.1819,2.191629,0.0,1.52206,3.171448,0.921895,1.175739
MIMAT0017994,4.668606,21.936928,2.982129,3.319803,5.484262,3.047178,5.390001,1.602765,3.292576,6.970032,1.921724,3.52452,6.055092,2.596578,6.072462,20.64229,7.228491,7.308301,5.285537,6.81307,17.101996,7.648957,2.35983,5.490129,6.987885,5.123983,5.573769,7.916381,3.740974,4.240299,4.089214,4.793659,11.488632,11.638552,5.555385,4.864473,7.089916,4.546882,5.909498,9.643163,15.491843,8.625003,3.839121,4.425093,6.348988
MIMAT0017996,0.126179,0.0,0.0,0.0,0.0,0.0,0.317059,0.0,0.274381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328885,0.231787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0017998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0017999,0.0,0.0,0.135551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166368,0.0,0.0,0.154827,0.0,0.0,0.0,0.0,0.0,0.145426,0.247629,0.0,0.0,0.0,0.0,0.23638,0.0,0.59584,0.253677,0.0,0.184379,0.0
MIMAT0018000,0.378536,2.580815,1.219962,1.532216,5.862487,1.015726,1.585295,0.890425,6.859535,1.100531,2.470789,1.333602,4.036728,0.590131,0.783544,1.6454,1.858755,10.022813,1.112746,0.309685,0.986654,3.940372,1.415898,0.332736,0.574346,1.317596,2.167577,0.989548,3.165439,1.413433,4.3813,1.55089,1.017981,0.990515,3.256605,0.37419,1.149715,2.814736,0.23638,5.113799,4.468801,0.0,6.175978,2.765683,0.470295
MIMAT0018001,0.0,0.0,0.0,0.0,0.189112,0.0,0.0,0.0,0.0,0.366844,0.137266,0.095257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328885,0.0,0.0,0.166368,0.0,0.0,0.0,0.164925,0.0,0.0,0.0,0.0,0.145426,0.0,0.0,0.0,0.191619,0.0,0.0,0.146109,0.0,0.0,0.0,0.0,0.940591
MIMAT0018003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
