Case ID,Read Counts,Sample,TCGA Project,miRNA
110,674e010c-7ad4-4dc2-86b0-284cd4560633,75.387348,674e010c-7ad4-4dc2-86b0-284cd4560633_01,CESC,miR-151a-5p
111,6813c53c-b256-4115-ad90-24d75328779e,105.860211,6813c53c-b256-4115-ad90-24d75328779e_01,CESC,miR-151a-5p
112,6817bb3e-1f8a-457c-9ab0-31ccda8b6868,64.442153,6817bb3e-1f8a-457c-9ab0-31ccda8b6868_01,CESC,miR-151a-5p
113,6868ba1d-b612-454c-8146-74af2f573d76,103.032139,6868ba1d-b612-454c-8146-74af2f573d76_01,CESC,miR-151a-5p
114,690a7b2a-7dc5-4504-9372-70c8b55e81c7,62.080039,690a7b2a-7dc5-4504-9372-70c8b55e81c7_01,CESC,miR-151a-5p
115,6949c03e-067a-49a5-b48d-e9380a1b0b27,66.238844,6949c03e-067a-49a5-b48d-e9380a1b0b27_01,CESC,miR-151a-5p
116,69baba9f-19c2-4947-95dc-0dd3412929ba,98.586033,69baba9f-19c2-4947-95dc-0dd3412929ba_01,CESC,miR-151a-5p
117,6a18d184-d3a2-49c2-bd4b-9c18f91b98c7,76.517985,6a18d184-d3a2-49c2-bd4b-9c18f91b98c7_01,CESC,miR-151a-5p
118,6b60bf8e-29a1-4c6b-9ead-aea4ddc99064,111.267642,6b60bf8e-29a1-4c6b-9ead-aea4ddc99064_01,CESC,miR-151a-5p
119,6b74c07a-9932-4a80-8296-9db08d0c6964,32.89945,6b74c07a-9932-4a80-8296-9db08d0c6964_01,CESC,miR-151a-5p
120,6bcf8b41-7abc-4b6f-899a-1f67b4ada765,67.243132,6bcf8b41-7abc-4b6f-899a-1f67b4ada765_01,CESC,miR-151a-5p
121,6bf00b63-89f8-420c-8d36-f680fb0908b1,100.231473,6bf00b63-89f8-420c-8d36-f680fb0908b1_01,CESC,miR-151a-5p
122,6c3c8219-74ab-4e54-81f5-84d4d5884252,50.676926,6c3c8219-74ab-4e54-81f5-84d4d5884252_01,CESC,miR-151a-5p
123,6d01421e-d533-4967-8422-97fbc0fb0895,60.842814,6d01421e-d533-4967-8422-97fbc0fb0895_01,CESC,miR-151a-5p
124,6dca2a6f-7f2c-4524-b528-396a889b2a3f,51.285745,6dca2a6f-7f2c-4524-b528-396a889b2a3f_01,CESC,miR-151a-5p
125,6e01248b-c551-4f52-8066-cb2d26eb6394,54.40445,6e01248b-c551-4f52-8066-cb2d26eb6394_01,CESC,miR-151a-5p
126,6f9d21c0-3b88-450d-a249-3e9bafba2dfa,40.821616,6f9d21c0-3b88-450d-a249-3e9bafba2dfa_01,CESC,miR-151a-5p
127,6ff12a54-10da-4941-bfea-7b66e19b4be9,139.386821,6ff12a54-10da-4941-bfea-7b66e19b4be9_01,CESC,miR-151a-5p
128,7067b7da-fb1b-4827-8fe6-9433ed672d3b,41.86933,7067b7da-fb1b-4827-8fe6-9433ed672d3b_01,CESC,miR-151a-5p
129,7218aa6f-3345-484f-a329-a3b6169a67c7,61.472579,7218aa6f-3345-484f-a329-a3b6169a67c7_01,CESC,miR-151a-5p
130,73aa428a-4288-45f8-8a53-cec173dcc61f,106.568062,73aa428a-4288-45f8-8a53-cec173dcc61f_01,CESC,miR-151a-5p
131,748aada0-448f-4523-9893-3d9618fdbe18,43.510451,748aada0-448f-4523-9893-3d9618fdbe18_01,CESC,miR-151a-5p
132,74e47ded-2c00-4455-aaa6-cd662dfbf05e,55.562109,74e47ded-2c00-4455-aaa6-cd662dfbf05e_01,CESC,miR-151a-5p
133,753ee373-fbcf-4349-b9b2-5a41936e27e9,64.876255,753ee373-fbcf-4349-b9b2-5a41936e27e9_01,CESC,miR-151a-5p
134,75bc22d8-738d-45f8-b6c0-c664f5fef47c,143.427265,75bc22d8-738d-45f8-b6c0-c664f5fef47c_01,CESC,miR-151a-5p
135,76b54726-d348-4a1b-ae26-5b08d2effc9d,71.132422,76b54726-d348-4a1b-ae26-5b08d2effc9d_01,CESC,miR-151a-5p
136,778389ba-c2e9-47d4-b133-6f4d0e689b34,140.144766,778389ba-c2e9-47d4-b133-6f4d0e689b34_01,CESC,miR-151a-5p
137,77d53d4d-3b07-4c79-86fe-6ac812968f39,116.295623,77d53d4d-3b07-4c79-86fe-6ac812968f39_01,CESC,miR-151a-5p
138,77da506b-e726-409f-b3eb-d41242862982,62.172602,77da506b-e726-409f-b3eb-d41242862982_01,CESC,miR-151a-5p
139,785ddea1-399d-47d8-b2b0-39e95eaa24b5,56.117364,785ddea1-399d-47d8-b2b0-39e95eaa24b5_01,CESC,miR-151a-5p
140,78c62970-4b48-4dc4-9042-5f48f42818ec,133.15508,78c62970-4b48-4dc4-9042-5f48f42818ec_01,CESC,miR-151a-5p
141,7941d1c7-5319-4e8d-a15f-60b61cb68a9b,57.766316,7941d1c7-5319-4e8d-a15f-60b61cb68a9b_01,CESC,miR-151a-5p
142,79ae5209-f476-4d65-a6c0-ebc18d7c8942,67.187953,79ae5209-f476-4d65-a6c0-ebc18d7c8942_01,CESC,miR-151a-5p
143,7abaca8f-962e-4f9d-b63f-26c131bf5961,102.283095,7abaca8f-962e-4f9d-b63f-26c131bf5961_01,CESC,miR-151a-5p
144,7b228c3b-e604-41a1-9b76-8dd3d5a59ffe,56.100544,7b228c3b-e604-41a1-9b76-8dd3d5a59ffe_01,CESC,miR-151a-5p
145,7b356c12-b226-4e58-be7f-44e50e3eefbe,87.937092,7b356c12-b226-4e58-be7f-44e50e3eefbe_01,CESC,miR-151a-5p
146,7b8c04d7-824d-493d-8f2c-9ed87a907192,188.835241,7b8c04d7-824d-493d-8f2c-9ed87a907192_01,CESC,miR-151a-5p
147,7c4ab1ca-4bdd-4ef7-9a42-f6c0c7136d26,80.422411,7c4ab1ca-4bdd-4ef7-9a42-f6c0c7136d26_01,CESC,miR-151a-5p
148,7c4cd55f-750e-4941-a9f3-0632a75d6531,30.817152,7c4cd55f-750e-4941-a9f3-0632a75d6531_01,CESC,miR-151a-5p
149,7c93642d-7e05-40f8-b1ef-a014edcfba42,57.161456,7c93642d-7e05-40f8-b1ef-a014edcfba42_01,CESC,miR-151a-5p
150,7cc8f5bd-d2d3-44e9-aff6-fe9c9c805938,137.3525,7cc8f5bd-d2d3-44e9-aff6-fe9c9c805938_01,CESC,miR-151a-5p
151,7df6c297-f2d6-43ef-973b-1f95676b0cc4,46.982314,7df6c297-f2d6-43ef-973b-1f95676b0cc4_01,CESC,miR-151a-5p
152,7fb8e7be-4118-41f8-b785-5cbb0afdb8b7,42.698223,7fb8e7be-4118-41f8-b785-5cbb0afdb8b7_01,CESC,miR-151a-5p
153,81658ce6-d4a9-4ee0-ae8f-cf2fa8485701,57.720099,81658ce6-d4a9-4ee0-ae8f-cf2fa8485701_01,CESC,miR-151a-5p
154,825a6fbb-aede-436f-800b-c7f096da0a77,88.605157,825a6fbb-aede-436f-800b-c7f096da0a77_01,CESC,miR-151a-5p
155,8328925e-3324-4188-85f1-6ffbf819d9e7,97.078312,8328925e-3324-4188-85f1-6ffbf819d9e7_01,CESC,miR-151a-5p
156,84cb84d0-7c7e-453c-8cc5-65b5af941028,91.854859,84cb84d0-7c7e-453c-8cc5-65b5af941028_01,CESC,miR-151a-5p
157,85abfd69-cf72-43f6-a7dd-97056f22c91b,61.362816,85abfd69-cf72-43f6-a7dd-97056f22c91b_01,CESC,miR-151a-5p
158,86731af9-2d33-4521-9cf9-5f6152ca15d7,92.822381,86731af9-2d33-4521-9cf9-5f6152ca15d7_01,CESC,miR-151a-5p
159,87e701ab-acfd-45f2-a12e-323c94e5f3d5,74.422815,87e701ab-acfd-45f2-a12e-323c94e5f3d5_01,CESC,miR-151a-5p
160,88f0aa4a-6bfd-4573-b136-58f84f867f10,78.859585,88f0aa4a-6bfd-4573-b136-58f84f867f10_01,CESC,miR-151a-5p
161,8911c80c-c903-48e4-af5b-ffedef9abc47,100.833783,8911c80c-c903-48e4-af5b-ffedef9abc47_01,CESC,miR-151a-5p
162,8a4da4f0-30f2-497e-8a7c-988fd6b813cb,83.227036,8a4da4f0-30f2-497e-8a7c-988fd6b813cb_01,CESC,miR-151a-5p
163,8ac819b3-4227-4eae-be03-8760b197df9a,149.18587,8ac819b3-4227-4eae-be03-8760b197df9a_01,CESC,miR-151a-5p
164,8dbcb17d-0396-4faa-9b32-8e2566424bff,108.371957,8dbcb17d-0396-4faa-9b32-8e2566424bff_01,CESC,miR-151a-5p
165,91310434-2a99-4e1d-81e6-3d58d097089f,29.532277,91310434-2a99-4e1d-81e6-3d58d097089f_01,CESC,miR-151a-5p
166,929505f7-0270-475e-a9d6-00bf38dc78ba,140.397352,929505f7-0270-475e-a9d6-00bf38dc78ba_01,CESC,miR-151a-5p
167,929505f7-0270-475e-a9d6-00bf38dc78ba,74.11226,929505f7-0270-475e-a9d6-00bf38dc78ba_06,CESC,miR-151a-5p
168,939abca1-8bd0-4271-9a9b-666764eeb3b6,90.864412,939abca1-8bd0-4271-9a9b-666764eeb3b6_01,CESC,miR-151a-5p
169,941f75a1-fea4-4539-ba69-60bb11608f6d,67.236344,941f75a1-fea4-4539-ba69-60bb11608f6d_01,CESC,miR-151a-5p
170,959fe574-054a-4fef-9cbe-a801a9a355de,132.200029,959fe574-054a-4fef-9cbe-a801a9a355de_01,CESC,miR-151a-5p
171,968bd652-786c-4ddb-a937-dc480cb821fc,139.670275,968bd652-786c-4ddb-a937-dc480cb821fc_01,CESC,miR-151a-5p
172,970b619f-2eb5-4557-a7b8-5def35943c58,101.347521,970b619f-2eb5-4557-a7b8-5def35943c58_01,CESC,miR-151a-5p
173,97cf3268-9756-4659-9e98-f200f96a91f4,67.206401,97cf3268-9756-4659-9e98-f200f96a91f4_01,CESC,miR-151a-5p
174,98784bbe-e286-48df-838d-1a88040658bf,171.525001,98784bbe-e286-48df-838d-1a88040658bf_01,CESC,miR-151a-5p
175,9912432e-74bc-4846-93b4-fa2bf8070bd1,150.3532,9912432e-74bc-4846-93b4-fa2bf8070bd1_01,CESC,miR-151a-5p
176,9aa36ac2-8418-4109-a3c1-63ca8742baab,78.133182,9aa36ac2-8418-4109-a3c1-63ca8742baab_01,CESC,miR-151a-5p
177,9ba72a77-aef0-4788-8072-60c28902e55d,36.414291,9ba72a77-aef0-4788-8072-60c28902e55d_01,CESC,miR-151a-5p
178,9c516d28-bef2-4334-bdda-97950bd95ac0,57.142568,9c516d28-bef2-4334-bdda-97950bd95ac0_01,CESC,miR-151a-5p
179,9dba5a81-3587-4f5a-8d19-e0b0aed0a677,78.245486,9dba5a81-3587-4f5a-8d19-e0b0aed0a677_01,CESC,miR-151a-5p
